facility_id,facility_name,reporting_entity,state,facility_type,installed_capacity_mw,latitude,longitude,timestamp,power_mw,emissions_t_co2e,received_at
121,Clare Solar Farm,CLARE SOLAR FARM HOLDINGS PTY LTD,QLD,solar,478.4090000000001,-22.1646782,144.5844903,2026-05-07 23:55:00,0.0,0.0,2026-05-29 00:47:43.619987
131,Vales Point Power Station,Delta Electricity Pty Ltd,NSW,power_station,21.637,-33.1605934,151.5440766,2026-05-07 23:55:00,462.5386,38.1612,2026-05-29 00:47:43.619987
134,The Daydream Solar Farm Trust,Edify Energy Pty Ltd,QLD,company_entity,478.4090000000001,-22.1646782,144.5844903,2026-05-07 23:55:00,0.0,0.0,2026-05-29 00:47:43.619987
136,Whitsunday Solar Farm Pty,Edify Energy Pty Ltd,QLD,company_entity,478.4090000000001,-22.1646782,144.5844903,2026-05-07 23:55:00,0.0,0.0,2026-05-29 00:47:43.619987
155,Barcaldine Power Station Facility,ENERGY QUEENSLAND LIMITED,QLD,generic_facility,478.4090000000001,-22.1646782,144.5844903,2026-05-07 23:55:00,0.0,0.0,2026-05-29 00:47:43.619987
188,Hallett Power Station,EnergyAustralia Holdings Limited,SA,power_station,3.091,-33.3486163,138.7519243,2026-05-07 23:55:00,0.0,0.0,2026-05-29 00:47:43.619987
189,Jeeralang Power Station,EnergyAustralia Holdings Limited,VIC,power_station,579.1320000000001,-38.2750151,146.425452,2026-05-07 23:55:00,0.0,0.0,2026-05-29 00:47:43.619987
190,Mt Piper Power Station,EnergyAustralia Holdings Limited,NSW,power_station,21.637,-33.3581858,150.0328446,2026-05-07 23:55:00,559.237,40.8298,2026-05-29 00:47:43.619987
191,Newport Power Station,EnergyAustralia Holdings Limited,VIC,power_station,579.1320000000001,-37.841433,144.8949937,2026-05-07 23:55:00,0.0,0.0,2026-05-29 00:47:43.619987
192,Tallawarra Power Station,EnergyAustralia Holdings Limited,NSW,power_station,21.637,-34.5225162,150.8073753,2026-05-07 23:55:00,0.0,0.0,2026-05-29 00:47:43.619987
193,Yallourn Power Station,EnergyAustralia Holdings Limited,VIC,power_station,579.1320000000001,-38.178028,146.3425413,2026-05-07 23:55:00,1179.1563,128.1907,2026-05-29 00:47:43.619987
195,Oakey Power Station,ERM Power Limited,QLD,power_station,478.4090000000001,-27.418254,151.6801745,2026-05-07 23:55:00,0.0,0.0,2026-05-29 00:47:43.619987
200,Crookwell 2 Wind farm,GLOBAL POWER GENERATION AUSTRALIA PTY LTD,NSW,wind_farm,21.637,-31.8759835,147.2869493,2026-05-07 23:55:00,51.6052,0.0,2026-05-29 00:47:43.619987
204,Butlers Gorge Hydro Power Station,HYDRO-ELECTRIC CORPORATION,TAS,hydro,0.479,-42.035067,146.6366887,2026-05-07 23:55:00,6.6,0.0,2026-05-29 00:47:43.619987
208,Devils Gate Hydro Power Station,HYDRO-ELECTRIC CORPORATION,TAS,hydro,0.479,-41.3506078,146.2653364,2026-05-07 23:55:00,55.3069,0.0,2026-05-29 00:47:43.619987
212,John Butters Hydro Power Station,HYDRO-ELECTRIC CORPORATION,TAS,hydro,0.479,-42.035067,146.6366887,2026-05-07 23:55:00,110.5693,0.0,2026-05-29 00:47:43.619987
214,Lake Echo Hydro Power Station,HYDRO-ELECTRIC CORPORATION,TAS,hydro,0.479,-42.2167834,146.6398625,2026-05-07 23:55:00,0.0,0.0,2026-05-29 00:47:43.619987
217,Lemonthyme Hydro Power Station,HYDRO-ELECTRIC CORPORATION,TAS,hydro,0.479,-42.035067,146.6366887,2026-05-07 23:55:00,32.0926,0.0,2026-05-29 00:47:43.619987
219,Mackintosh Hydro Power Station,HYDRO-ELECTRIC CORPORATION,TAS,hydro,0.479,-41.7085352,145.6450096,2026-05-07 23:55:00,0.0,0.0,2026-05-29 00:47:43.619987
220,Meadowbank Hydro Power Station,HYDRO-ELECTRIC CORPORATION,TAS,hydro,0.479,-42.6112889,146.8448542,2026-05-07 23:55:00,6.0875,0.0,2026-05-29 00:47:43.619987
225,Rowallan Hydro Power Station,HYDRO-ELECTRIC CORPORATION,TAS,hydro,0.479,-41.7301238,146.2146304,2026-05-07 23:55:00,7.0301,0.0,2026-05-29 00:47:43.619987
226,Tamar Valley Power Station,HYDRO-ELECTRIC CORPORATION,TAS,power_station,0.479,-41.1405872,146.9056213,2026-05-07 23:55:00,0.0,0.0,2026-05-29 00:47:43.619987
